mlp_ratio,sum_mlp_ratio,num_heads,one_layer_heads,sum_num_heads,embed_dim,sum_embed,one_layer_embed,layer_num,dss score,retrain accuracy50,resultfilename,retrain accuracy100,resultfilename2,grasp score,snip score,training time
 16 16 16 8 32 32,120, 6 6 6 6 6 4,6,34, 196 196 196 196 196 196,1176,196,6,1120.445068,56.95,11477133,82.06,11496239,-0.863760352,139.8467712,20:21
 16 16 32 16 16,96, 6 6 4 4 6,6,26, 196 196 196 196 196,980,196,5,1092.850464,60.27,11477265,81.16,11496371,-0.938026428,128.8773499,19:56
 32 32 32 8,104, 6 6 4 6,6,22, 196 196 196 196,784,196,4,1091.773315,47.35,11477445,78.15,11496551,-0.759630263,102.1235962,17:08
 16 16 32 32 8 16 16,136, 6 6 3 3 3 6 3,6,30, 196 196 196 196 196 196 196,1372,196,7,1077.356689,62.34,11477521,84.74,11496627,-7.019181252,324.8972778,24:12:00
 32 32 32 8,104, 6 6 3 3,6,18, 196 196 196 196,784,196,4,1073.045044,46.27,11477508,78.59,11496614,-0.763626158,101.1126251,16:59
 16 8 32 8,64, 6 6 6 6,6,24, 196 196 196 196,784,196,4,1064.262695,52.37,11477346,79.14,11496452,-0.794475675,94.2808609,17:51
 8 16 32 16 32 16 8,128, 6 6 6 4 6 3 4,6,35, 196 196 196 196 196 196 196,1372,196,7,1057.54126,61.17,11477160,84.64,11496266,-4.792768478,276.3561096,23:54
 8 32 16 8,64, 6 6 6 4,6,22, 196 196 196 196,784,196,4,1051.620117,50.74,11477278,78.22,11496384,-0.654671371,96.66746521,16:40
 8 32 8 32,80, 6 6 6 6,6,24, 196 196 196 196,784,196,4,1046.081299,57.65,11477545,76.97,11496651,-1.106494427,99.42446136,17:04
 32 8 16 16 8 16,96, 6 6 4 6 6 3,6,31, 196 196 196 196 196 196,1176,196,6,1044.272217,63.2,11477203,84.13,11496309,-0.728798509,137.119812,22:04
 8 8 8 32 8 32 8,104, 6 6 6 6 6 4 6,6,40, 196 196 196 196 196 196 196,1372,196,7,997.6916504,62.89,11477312,83.66,11496418,-5.525511742,263.4714661,22:40
 16 16 32 16,80, 6 4 6 6,6,22, 196 196 196 196,784,196,4,987.0985718,57.64,11477513,79.23,11496619,-1.188047647,119.5719604,20:15
 16 32 16 8,72, 6 4 6 6,6,22, 196 196 196 196,784,196,4,985.2008667,46.83,11477329,78.38,11496435,-0.882110417,102.4157181,19:06
 16 16 32 8 32 16,120, 6 4 6 4 3 4,6,27, 196 196 196 196 196 196,1176,196,6,983.6149902,58.74,11477349,82.75,11496455,-0.871295989,138.2590637,22:57
 16 32 16 32,96, 6 4 6 4,6,20, 196 196 196 196,784,196,4,982.8071899,59.18,11477075,78.44,11496181,-1.156610489,118.8816833,15:06
 16 32 8 16 8,80, 6 4 6 6 4,6,26, 196 196 196 196 196,980,196,5,978.2451782,62.59,11477532,80.54,11496638,-1.121880889,112.2490921,21:20
