mlp_ratio,sum_mlp_ratio,num_heads,sum_num_heads,embed_dim,sum_embed,layer_num,dss score,retrain accuracy100,resultfilename2,grasp score,snip score,training time
16 8 16 32 16 16 16 ,120,4 4 6 3 6 3 4 ,30,64 64 64 64 64 64 64 ,448,7,96.52750397,,,-3.625556469,51.61140823,
32 16 32 32 ,112,6 3 4 3 ,16,32 32 32 32 ,128,4,29.46359825,,,-0.07738582,5.4240098,
16 32 8 16 16 16 ,104,6 6 3 6 4 4 ,29,128 128 128 128 128 128 ,768,6,489.3905029,,,-0.314258128,56.42423248,
32 8 8 32 ,80,4 6 6 6 ,22,32 32 32 32 ,128,4,30.28494263,,,-0.07824333,4.187111855,
16 8 32 16 32 8 8 ,120,6 3 3 3 6 4 3 ,28,32 32 32 32 32 32 32 ,224,7,27.24009132,,,-0.627192438,14.11617851,
32 16 8 16 32 16 ,120,6 3 6 4 6 3 ,28,128 128 128 128 128 128 ,768,6,417.4888611,,,-0.228253543,61.42412949,
8 32 16 16 32 8 16 ,128,3 3 3 3 6 6 4 ,28,196 196 196 196 196 196 196 ,1372,7,634.6586304,,,-1.116491795,270.1840515,
8 32 8 8 ,56,3 3 6 6 ,18,196 196 196 196 ,784,4,665.71521,,,-1.151442289,80.50450897,
32 8 8 32 32 16 ,128,6 4 4 4 6 6 ,30,128 128 128 128 128 128 ,768,6,428.1428833,,,-0.48878774,61.17173767,
16 32 8 16 ,72,6 6 4 3 ,19,64 64 64 64 ,256,4,135.8009033,,,-0.404165387,15.41640091,
32 16 8 32 ,88,3 4 3 4 ,14,196 196 196 196 ,784,4,768.336792,,,-1.546207309,92.08414459,
8 8 32 8 ,56,3 6 6 6 ,21,32 32 32 32 ,128,4,26.12217331,,,-0.083281234,4.329891682,
8 32 8 32 ,80,6 3 4 3 ,16,128 128 128 128 ,512,4,378.7415161,,,-0.682397425,43.5759201,
8 32 8 8 ,56,3 6 3 4 ,16,64 64 64 64 ,256,4,103.936615,,,-0.445371509,14.59497643,
32 8 32 16 ,88,6 3 4 3 ,16,64 64 64 64 ,256,4,113.0034866,,,-0.525269747,20.73458481,
32 16 16 16 ,80,3 3 6 4 ,16,32 32 32 32 ,128,4,23.6049099,,,-0.073857769,4.264472485,
32 16 8 16 ,72,4 6 4 6 ,20,64 64 64 64 ,256,4,123.0388489,,,-0.087057039,16.71884918,
8 32 8 8 16 ,72,6 4 3 6 4 ,23,64 64 64 64 64 ,320,5,113.6729279,,,-0.467502028,15.95956612,
16 32 16 32 ,96,6 4 6 4 ,20,196 196 196 196 ,784,4,1063.116211,,,-0.928867221,98.88516998,
8 32 32 8 16 32 ,128,3 4 6 3 6 4 ,26,64 64 64 64 64 64 ,384,6,93.94319153,,,-0.865460277,27.02910233,
16 16 32 16 32 ,112,4 6 6 6 3 ,25,128 128 128 128 128 ,640,5,431.6359253,,,-0.872533321,62.05177689,
32 16 32 8 8 32 8 ,136,6 4 3 3 3 6 4 ,29,196 196 196 196 196 196 196 ,1372,7,1019.900452,,,-0.310409069,224.9791107,
8 16 32 32 16 32 32 ,168,3 3 4 3 4 6 3 ,26,196 196 196 196 196 196 196 ,1372,7,646.9352417,,,-2.898350716,254.050354,
32 32 8 8 16 16 16 ,128,4 3 4 3 6 6 3 ,29,64 64 64 64 64 64 64 ,448,7,103.9737778,,,-1.224970937,51.87776947,
16 32 16 16 ,80,3 3 3 6 ,15,32 32 32 32 ,128,4,22.39443588,,,-0.068686113,3.934141159,
8 8 32 32 ,80,3 4 4 6 ,17,64 64 64 64 ,256,4,82.15912628,,,-1.268463254,20.07640839,
16 16 32 8 ,72,3 4 4 3 ,14,128 128 128 128 ,512,4,327.7055054,,,-0.223742664,50.73554611,
32 32 32 32 16 ,144,3 3 4 3 3 ,16,32 32 32 32 32 ,160,5,24.35640526,,,-0.103187196,5.890199661,
32 16 32 16 16 ,112,6 3 6 6 6 ,27,196 196 196 196 196 ,980,5,996.6669922,,,-0.852258086,106.5480957,
32 16 16 32 8 8 16 ,128,6 4 3 3 3 4 4 ,27,128 128 128 128 128 128 128 ,896,7,440.4465027,,,-3.302055359,125.3945618,
32 8 16 32 8 8 ,104,4 3 3 6 4 4 ,24,196 196 196 196 196 196 ,1176,6,731.8709717,,,-0.885349751,112.5429916,
16 8 16 32 8 ,80,3 4 3 6 6 ,22,32 32 32 32 32 ,160,5,22.36166,,,-0.079137206,4.146157265,
16 16 16 16 8 8 ,80,6 4 4 4 4 3 ,25,196 196 196 196 196 196 ,1176,6,1039.941162,,,-0.72155118,112.0505066,
32 16 16 8 ,72,4 4 6 6 ,20,64 64 64 64 ,256,4,108.8034973,,,-0.203271985,18.5007782,
32 32 16 32 8 ,120,3 3 3 6 3 ,18,32 32 32 32 32 ,160,5,24.00414085,,,-0.079556115,5.051134109,
8 8 16 32 32 16 16 ,128,4 6 6 6 3 4 3 ,32,128 128 128 128 128 128 128 ,896,7,391.1809998,,,-1.051072478,114.1377563,
16 32 8 16 8 ,80,4 3 3 6 3 ,19,196 196 196 196 196 ,980,5,782.0578003,,,-1.583618641,97.92491913,
8 16 16 16 8 ,64,6 3 3 6 3 ,21,32 32 32 32 32 ,160,5,26.97720528,,,-0.083749063,3.816195488,
16 16 16 32 8 ,88,3 6 4 3 6 ,22,196 196 196 196 196 ,980,5,918.1542969,,,-1.840655804,107.2784271,
32 16 32 16 16 16 32 ,160,6 3 6 6 3 3 4 ,31,128 128 128 128 128 128 128 ,896,7,427.5707397,,,-3.315391541,151.0605927,
8 32 8 16 32 8 ,104,4 6 4 6 6 4 ,30,32 32 32 32 32 32 ,192,6,29.12608719,,,-0.09581735,5.367946625,
32 8 8 8 ,56,3 3 4 3 ,13,196 196 196 196 ,784,4,636.2435303,,,-1.064768076,76.98554993,
8 8 32 16 16 32 ,112,4 6 6 3 6 3 ,28,32 32 32 32 32 32 ,192,6,28.21694183,,,-0.146013856,6.997481346,
8 16 32 32 16 16 16 ,136,6 6 3 3 6 3 6 ,33,64 64 64 64 64 64 64 ,448,7,128.2770386,,,-3.379849911,59.88405228,
32 32 16 16 8 16 ,120,4 4 4 4 4 3 ,23,64 64 64 64 64 64 ,384,6,111.1755981,,,-0.235894978,21.72888756,
8 16 32 16 8 ,80,3 4 4 3 4 ,18,32 32 32 32 32 ,160,5,22.4667778,,,-0.120381743,4.342271328,
16 16 8 32 16 ,88,4 4 3 3 4 ,18,64 64 64 64 64 ,320,5,95.11501312,,,-0.367200136,17.0338726,
8 32 32 8 ,80,6 4 3 6 ,19,128 128 128 128 ,512,4,418.0817261,,,-0.87660563,56.67727661,
16 16 8 8 32 ,80,6 4 6 6 4 ,26,32 32 32 32 32 ,160,5,30.15872574,,,-0.088375792,4.275401592,
8 16 16 32 32 8 ,112,6 3 3 4 4 4 ,24,64 64 64 64 64 64 ,384,6,102.7893143,,,-0.378148675,21.11579895,
16 32 8 8 8 16 16 ,104,3 6 6 6 6 3 3 ,33,32 32 32 32 32 32 32 ,224,7,28.33952141,,,-0.624228835,15.50712109,
32 16 8 8 16 32 16 ,128,3 3 4 3 3 4 3 ,23,32 32 32 32 32 32 32 ,224,7,22.76931953,,,-0.653553843,15.33602619,
