mlp_ratio,sum_mlp_ratio,num_heads,sum_num_heads,embed_dim,sum_embed,layer_num,dss score,retrain accuracy100,resultfilename,grasp score,snip score,training time,OA, AA, Kappa,Params,FLOPS
16 8 16 32 16 16 16,120,4 4 6 3 6 3 4,30,64 64 64 64 64 64 64,448,7,81.84183502,77.39,config_11728442,-0.798929751,46.60014343,15:52,0.774,0.8561,0.7454,1713168,7877787648
32 16 32 32,112,6 3 4 3,16,32 32 32 32,128,4,22.5269146,53.69,config_11728443,-0.008666426,5.143665314,23:25,0.5367,0.6895,0.4844,446736,3808870400
16 32 8 16 16 16,104,6 6 3 6 4 4,29,128 128 128 128 128 128,768,6,454.1846619,81.44,config_11728444,-0.308451444,65.09313202,11:30,0.8144,0.8816,0.789,4396304,10168762368
32 8 8 32,80,4 6 6 6,22,32 32 32 32,128,4,23.18886948,48.3,config_11728445,-0.009417728,4.212207317,16:23,0.4829,0.6234,0.4215,380176,3741761536
16 8 32 16 32 8 8,120,6 3 3 3 6 4 3,28,32 32 32 32 32 32 32,224,7,20.54874802,62.67,config_11728446,-0.19723019,12.05527973,19:37,0.6268,0.7668,0.5835,614864,6505807872
32 16 8 16 32 16,120,6 3 6 4 6 3,28,128 128 128 128 128 128,768,6,389.8710327,81.23,config_11728447,-0.249821067,68.56903839,16:19,0.8124,0.8813,0.787,4659472,10437197824
8 32 16 16 32 8 16,128,3 3 3 3 6 6 4,28,196 196 196 196 196 196 196,1372,7,582.046814,82.89,config_11728448,-8.272855759,338.787262,15:22,0.8288,0.8793,0.8048,9464760,16840742912
8 32 8 8,56,3 3 6 6,18,196 196 196 196,784,4,608.3516846,76.38,config_11728449,-0.92761755,83.60407257,17:56,0.7638,0.8309,0.7314,4341648,8503252992
32 8 8 32 32 16,128,6 4 4 4 6 6,30,128 128 128 128 128 128,768,6,386.6878357,82.08,config_11728450,-0.293759912,69.79875183,16:18,0.8208,0.8868,0.7967,4659472,10437197824
16 32 8 16,72,6 6 4 3,19,64 64 64 64,256,4,114.5360031,73.34,config_11728451,-0.073480181,13.96992397,14:19,0.7334,0.7982,0.6995,1017360,4530733056
32 16 8 32,88,3 4 3 4,14,196 196 196 196,784,4,696.4606934,78.97,config_11728452,-1.227407694,103.7787018,12:23,0.7897,0.857,0.7614,5523792,9710688256
8 8 32 8,56,3 6 6 6,21,32 32 32 32,128,4,19.48725891,49.78,config_11728453,-0.028411055,4.081661224,19:11,0.4978,0.6338,0.4407,330256,3691429888
8 32 8 32,80,6 3 4 3,16,128 128 128 128,512,4,351.3623047,77.37,config_11728454,-0.385773599,48.20821762,12:56,0.7737,0.8298,0.7425,2946576,6779764736
8 32 8 8,56,3 6 3 4,16,64 64 64 64,256,4,86.03464508,69.8,config_11728455,-0.050821543,11.58442879,19:06,0.6982,0.7628,0.659,885264,4396515328
32 8 32 16,88,6 3 4 3,16,64 64 64 64,256,4,97.65184784,70.55,config_11728456,-0.113132022,15.26854038,13:39,0.7056,0.8047,0.6691,1149456,4664950784
32 16 16 16,80,3 3 6 4,16,32 32 32 32,128,4,16.499897,48.51,config_11728457,-0.006306045,4.081252575,16:09,0.4851,0.5915,0.4243,380176,3741761536
32 16 8 16,72,4 6 4 6,20,64 64 64 64,256,4,102.0755157,74.79,config_11728458,-0.046233445,12.72599411,25:03:00,0.7479,0.8083,0.7141,1017360,4530733056
8 32 8 8 16,72,6 4 3 6 4,23,64 64 64 64 64,320,5,98.32288361,71.96,config_11728459,-0.059940815,13.96351147,12:16,0.7196,0.7933,0.6845,1117200,5512200192
16 32 16 32,96,6 4 6 4,20,196 196 196 196,784,4,982.8071899,78.46,config_11728460,-1.156610489,118.8816833,23:40,0.7846,0.8494,0.7555,6114864,10314405888
8 32 32 8 16 32,128,3 4 6 3 6 4,26,64 64 64 64 64 64,384,6,79.45394897,77.91,config_11728461,-0.098551273,22.04265022,25:54:00,0.7791,0.8459,0.7495,1679376,6963429376
16 16 32 16 32,112,4 6 6 6 3,25,128 128 128 128 128,640,5,393.458252,81.07,config_11728462,-0.496005118,62.54523849,20:10,0.8107,0.8632,0.7849,4197776,9011134464
32 16 32 8 8 32 8,136,6 4 3 3 3 6 4,29,196 196 196 196 196 196 196,1372,7,944.0470581,84.74,config_11728463,-6.060107231,269.1949768,22:05,0.8474,0.9036,0.8262,8873688,16237025280
8 16 32 32 16 32 32,168,3 3 4 3 4 6 3,26,196 196 196 196 196 196 196,1372,7,593.0250244,84.09,config_11728464,-5.966370106,325.5970459,15:27,0.8409,0.8977,0.8187,10055832,17444460544
32 32 8 8 16 16 16,128,4 3 4 3 6 6 3,29,64 64 64 64 64 64 64,448,7,87.52589417,78.3,config_11728465,-0.917225242,45.21290588,12:13,0.783,0.8488,0.7546,1779216,7944896512
16 32 16 16,80,3 3 3 6,15,32 32 32 32,128,4,15.49545765,48.21,config_11728466,-0.015940774,4.114659309,14:46,0.4821,0.6005,0.4201,380176,3741761536
8 8 32 32,80,3 4 4 6,17,64 64 64 64,256,4,68.95063782,71.74,config_11728467,-0.136164367,15.77499104,14:46,0.7173,0.7899,0.6776,1083408,4597841920
16 16 32 8,72,3 4 4 3,14,128 128 128 128,512,4,291.0635376,76.83,config_11728468,-0.482158452,47.9796257,14:45,0.7683,0.8367,0.7378,2946576,6779764736
32 32 32 32 16,144,3 3 4 3 3,16,32 32 32 32 32,160,5,17.1849308,56.85,config_11728469,-0.020329865,5.746651173,18:40,0.5685,0.6922,0.5189,563792,4769366016
32 16 32 16 16,112,6 3 6 6 6,27,196 196 196 196 196,980,5,926.7945557,81.02,config_11728470,-1.106321573,130.6045837,12:39,0.8102,0.8795,0.7847,7625544,12892329984
32 16 16 32 8 8 16,128,6 4 3 3 3 4 4,27,128 128 128 128 128 128 128,896,7,400.4517517,83.27,config_11728471,-4.320759773,151.5081177,16:26,0.8327,0.8937,0.8095,5121168,11863261184
32 8 16 32 8 8,104,4 3 3 6 4 4,24,196 196 196 196 196 196,1176,6,669.9716797,81.98,config_11728472,-0.87058115,128.1156921,10:45,0.8197,0.8835,0.7948,7363008,13659101184
16 8 16 32 8,80,3 4 3 6 6,22,32 32 32 32 32,160,5,15.66547775,54.95,config_11728473,-0.015125152,4.406756401,13:41,0.5494,0.684,0.4979,430672,4635148288
16 16 16 16 8 8,80,6 4 4 4 4 3,25,196 196 196 196 196 196,1176,6,960.3347168,82.44,config_11728474,-0.835083961,133.4683228,10:11,0.8244,0.8859,0.8006,7954080,14262818816
32 16 16 8,72,4 4 6 6,20,64 64 64 64,256,4,92.80214691,69.17,config_11728475,-0.065063491,12.21141529,13:57,0.6917,0.7856,0.6533,1017360,4530733056
32 32 16 32 8,120,3 3 3 6 3,18,32 32 32 32 32,160,5,16.8200798,54.07,config_11728476,-0.010879174,5.099639893,17:59,0.5407,0.6701,0.4876,513872,4719034368
8 8 16 32 32 16 16,128,4 6 6 6 3 4 3,32,128 128 128 128 128 128 128,896,7,351.9136963,82.61,config_11728477,-2.972953558,140.1238251,20:55,0.8261,0.8801,0.8021,5121168,11863261184
16 32 8 16 8,80,4 3 3 6 3,19,196 196 196 196 196,980,5,710.4366455,80.41,config_11728478,-1.134465814,111.5694962,10:43,0.8041,0.8692,0.7774,6443400,11684894720
8 16 16 16 8,64,6 3 3 6 3,21,32 32 32 32 32,160,5,20.17747307,52.98,config_11728479,-0.005384877,4.120874405,20:41,0.5298,0.6734,0.4762,397392,4601593856
16 16 16 32 8,88,3 6 4 3 6,22,196 196 196 196 196,980,5,849.9710083,81.37,config_11728480,-0.670690298,122.039917,21:38,0.8136,0.8674,0.7868,7034472,12288612352
32 16 32 16 16 16 32,160,6 3 6 6 3 3 4,31,128 128 128 128 128 128 128,896,7,398.0571899,83.12,config_11728481,-3.580622196,171.2102203,16:19,0.8311,0.8889,0.8078,5910672,12668567552
8 32 8 16 32 8,104,4 6 4 6 6 4,30,32 32 32 32 32 32,192,6,22.20484543,55.68,config_11728482,-0.039791659,5.322898388,16:10,0.5566,0.705,0.5063,531088,5578866688
32 8 8 8,56,3 3 4 3,13,196 196 196 196,784,4,587.2134399,75.79,config_11728483,-0.824443817,80.27075958,14:11,0.758,0.8341,0.7258,4341648,8503252992
8 8 32 16 16 32,112,4 6 6 3 6 3,28,32 32 32 32 32 32,192,6,21.43044662,64.33,config_11728484,-0.044716336,6.922996998,21:13,0.6432,0.7502,0.6023,547728,5595643904
