mlp_ratio,sum_mlp_ratio,num_heads,sum_num_heads,embed_dim,sum_embed,layer_num,dss score,retrain accuracy100,resultfilename2,grasp score,snip score,training time
 16 8 16 32 16 16 16 ,120, 4 4 6 3 6 3 4 ,30, 64 64 64 64 64 64 64 ,448,7,67.87878418,90,config_11733818,-1.498886585,81.80387115,14:28
 32 16 32 32 ,112, 6 3 4 3 ,16, 32 32 32 32 ,128,4,20.85637283,90,config_11733820,-0.024187353,12.06864738,12:38
 16 32 8 16 16 16 ,104, 6 6 3 6 4 4 ,29, 128 128 128 128 128 128 ,768,6,357.7807007,93.02,config_11733821,-0.551331699,100.4550323,11:44
 32 8 8 32 ,80, 4 6 6 6 ,22, 32 32 32 32 ,128,4,22.0585022,88.41,config_11733822,0.017631218,10.96360111,11:39
 16 8 32 16 32 8 8 ,120, 6 3 3 3 6 4 3 ,28, 32 32 32 32 32 32 32 ,224,7,19.08475113,90.63,config_11733823,-0.720545352,24.11480522,13:27
 32 16 8 16 32 16 ,120, 6 3 6 4 6 3 ,28, 128 128 128 128 128 128 ,768,6,318.5284119,92.86,config_11733824,-0.56621933,102.6067123,12:50
 8 32 16 16 32 8 16 ,128, 3 3 3 3 6 6 4 ,28, 196 196 196 196 196 196 196 ,1372,7,505.4660339,92.22,config_11733825,-5.870605946,396.5964966,14:59
 8 32 8 8 ,56, 3 3 6 6 ,18, 196 196 196 196 ,784,4,529.2785034,93.17,config_11733826,-1.114226818,126.2472763,13:06
 32 8 8 32 32 16 ,128, 6 4 4 4 6 6 ,30, 128 128 128 128 128 128 ,768,6,322.4750366,93.81,config_11733827,-0.110876016,109.7780914,11:28
 16 32 8 16 ,72, 6 6 4 3 ,19, 64 64 64 64 ,256,4,91.57712555,92.7,config_11733828,0.113325424,24.98873711,12:33
 32 16 8 32 ,88, 3 4 3 4 ,14, 196 196 196 196 ,784,4,589.826416,93.81,config_11733829,-0.418334305,145.2313538,11:44
 8 8 32 8 ,56, 3 6 6 6 ,21, 32 32 32 32 ,128,4,19.04997826,88.25,config_11733830,-0.080620036,7.729634762,9:43
 8 32 8 32 ,80, 6 3 4 3 ,16, 128 128 128 128 ,512,4,285.2348022,92.54,config_11733831,-0.277249396,76.97434235,11:38
 8 32 8 8 ,56, 3 6 3 4 ,16, 64 64 64 64 ,256,4,69.95283508,92.86,config_11733832,-0.114066422,19.83581161,11:08
 32 8 32 16 ,88, 6 3 4 3 ,16, 64 64 64 64 ,256,4,77.08454132,91.75,config_11733833,-0.105387196,29.18648529,10:30
 32 16 16 16 ,80, 3 3 6 4 ,16, 32 32 32 32 ,128,4,17.18079376,89.05,config_11733834,-0.058227338,10.44036293,10:47
 32 16 8 16 ,72, 4 6 4 6 ,20, 64 64 64 64 ,256,4,83.54080963,92.38,config_11733835,0.03737478,26.43843079,11:34
 8 32 8 8 16 ,72, 6 4 3 6 4 ,23, 64 64 64 64 64 ,320,5,79.25214386,91.27,config_11733836,-0.139670327,22.60338211,10:11
 16 32 16 32 ,96, 6 4 6 4 ,20, 196 196 196 196 ,784,4,831.9928589,93.65,config_11733837,-0.929016888,158.6614838,12:40
 8 32 32 8 16 32 ,128, 3 4 6 3 6 4 ,26, 64 64 64 64 64 64 ,384,6,66.51016235,92.06,config_11733838,-0.114118293,35.42145157,14:19
 16 16 32 16 32 ,112, 4 6 6 6 3 ,25, 128 128 128 128 128 ,640,5,320.1925659,93.97,config_11733839,-0.640199661,93.44829559,11:36
 32 16 32 8 8 32 8 ,136, 6 4 3 3 3 6 4 ,29, 196 196 196 196 196 196 196 ,1372,7,797.3328857,92.86,config_11733840,-3.19161272,326.7781067,17:20
 8 16 32 32 16 32 32 ,168, 3 3 4 3 4 6 3 ,26, 196 196 196 196 196 196 196 ,1372,7,515.0828247,92.7,config_11733841,-4.335321426,379.4034729,14:07
 32 32 8 8 16 16 16 ,128, 4 3 4 3 6 6 3 ,29, 64 64 64 64 64 64 64 ,448,7,73.82279968,93.33,config_11733842,-1.890019417,81.27719879,17:03
 16 32 16 16 ,80, 3 3 3 6 ,15, 32 32 32 32 ,128,4,16.21873474,88.1,config_11733843,-0.101657122,8.923584938,11:51
 8 8 32 32 ,80, 3 4 4 6 ,17, 64 64 64 64 ,256,4,56.84781647,91.59,config_11733844,-0.184024349,28.29281998,14:18
 16 16 32 8 ,72, 3 4 4 3 ,14, 128 128 128 128 ,512,4,242.4209595,93.17,config_11733845,-0.565624475,76.91337585,11:52
 32 32 32 32 16 ,144, 3 3 4 3 3 ,16, 32 32 32 32 32 ,160,5,17.8721447,90.95,config_11733846,-0.010186527,12.78501701,13:13
 32 16 32 16 16 ,112, 6 3 6 6 6 ,27, 196 196 196 196 196 ,980,5,794.2386475,92.22,config_11733847,-0.594637513,166.8434448,15:49
 32 16 16 32 8 8 16 ,128, 6 4 3 3 3 4 4 ,27, 128 128 128 128 128 128 128 ,896,7,327.946991,92.22,config_11733848,-2.726783514,215.6173401,12:45
 32 8 16 32 8 8 ,104, 4 3 3 6 4 4 ,24, 196 196 196 196 196 196 ,1176,6,588.4639282,93.33,config_11733849,-0.610434651,173.3786163,16:16
 16 8 16 32 8 ,80, 3 4 3 6 6 ,22, 32 32 32 32 32 ,160,5,16.09064865,89.37,config_11733850,-0.052443538,9.957268715,10:48
 16 16 16 16 8 8 ,80, 6 4 4 4 4 3 ,25, 196 196 196 196 196 196 ,1176,6,812.5549316,92.38,config_11733851,-0.621270239,177.1692352,15:40
 32 16 16 8 ,72, 4 4 6 6 ,20, 64 64 64 64 ,256,4,77.31970215,92.22,config_11733852,-0.282095373,26.55758476,10:44
 32 32 16 32 8 ,120, 3 3 3 6 3 ,18, 32 32 32 32 32 ,160,5,17.56100655,90.32,config_11733853,0.013292864,11.8212595,10:15
 8 8 16 32 32 16 16 ,128, 4 6 6 6 3 4 3 ,32, 128 128 128 128 128 128 128 ,896,7,291.0101929,92.7,config_11733854,-2.100255013,195.1829529,16:29
 16 32 8 16 8 ,80, 4 3 3 6 3 ,19, 196 196 196 196 196 ,980,5,618.3637695,92.38,config_11733855,-0.419949979,148.4525604,12:15
 8 16 16 16 8 ,64, 6 3 3 6 3 ,21, 32 32 32 32 32 ,160,5,18.70676422,89.37,config_11733856,-0.123682633,8.535476685,14:25
 16 16 16 32 8 ,88, 3 6 4 3 6 ,22, 196 196 196 196 196 ,980,5,708.2843628,92.7,config_11733857,-0.517831802,168.1085358,11:30
 32 16 32 16 16 16 32 ,160, 6 3 6 6 3 3 4 ,31, 128 128 128 128 128 128 128 ,896,7,327.2580872,93.02,config_11733858,-4.10187912,240.4957886,15:32
 8 32 8 16 32 8 ,104, 4 6 4 6 6 4 ,30, 32 32 32 32 32 32 ,192,6,21.13911629,90,config_11733859,-0.124702744,11.38765907,13:03
 32 8 8 8 ,56, 3 3 4 3 ,13, 196 196 196 196 ,784,4,504.9804993,93.02,config_11733860,-0.266573131,124.8769226,12:16
 8 8 32 16 16 32 ,112, 4 6 6 3 6 3 ,28, 32 32 32 32 32 32 ,192,6,20.42797089,91.27,config_11733861,-0.141975358,12.16611481,15:49
 8 16 32 32 16 16 16 ,136, 6 6 3 3 6 3 6 ,33, 64 64 64 64 64 64 64 ,448,7,84.58885193,91.59,config_11733862,-1.614197016,82.17720032,13:38
 32 32 16 16 8 16 ,120, 4 4 4 4 4 3 ,23, 64 64 64 64 64 64 ,384,6,79.98083496,93.17,config_11733863,-0.135526463,34.63780212,15:29
 8 16 32 16 8 ,80, 3 4 4 3 4 ,18, 32 32 32 32 32 ,160,5,16.05708694,90.48,config_11733864,-0.141470015,9.28736496,10:31
 16 16 8 32 16 ,88, 4 4 3 3 4 ,18, 64 64 64 64 64 ,320,5,66.42010498,92.54,config_11733865,-0.091234431,28.41717911,14:19
 8 32 32 8 ,80, 6 4 3 6 ,19, 128 128 128 128 ,512,4,312.3000793,93.97,config_11733866,-0.473592371,76.27696991,10:20
